accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
201501CW10502,3,19,0,3,0,1,0,0,0,0,3,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,3,530390,180270,-0.122638,51.506327,1,2,3,1,42220,4,1899-12-30 09:00:00,1,E09000033,3,3211,3,30,3,2,4,308,0,5,1,1,1,0,0,2,2,E01004736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10504,1,8,0,2,0,8,0,0,0,0,3,1,6,1,45,7,1797,8,4,-1,1,-1,1,2,527740,183530,-0.159619,51.536229,1,3,2,1,22/04/2015,4,1899-12-30 17:50:00,1,E09000033,3,5205,6,30,3,4,3,5205,0,1,1,1,1,0,0,1,1,E01004730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10504,2,1,0,18,0,8,0,8,0,0,1,1,6,1,36,7,-1,-1,-1,-1,1,-1,1,2,527740,183530,-0.159619,51.536229,1,3,2,1,22/04/2015,4,1899-12-30 17:50:00,1,E09000033,3,5205,6,30,3,4,3,5205,0,1,1,1,1,0,0,1,1,E01004730,1,1,1,36,7,3,0,0,0,0,0,1,1,4
201501CW10505,1,9,0,18,0,8,0,0,0,0,2,1,6,2,49,8,1598,1,10,-1,1,-1,1,2,526750,182550,-0.174238,51.527645,1,3,2,1,22/04/2015,4,1899-12-30 15:40:00,1,E09000033,3,5205,6,30,6,2,4,507,0,5,1,1,1,0,0,1,1,E01004728,1,1,2,49,8,3,0,0,0,0,0,9,1,5
201501CW10505,2,9,0,18,0,8,0,10,3,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,526750,182550,-0.174238,51.527645,1,3,2,1,22/04/2015,4,1899-12-30 15:40:00,1,E09000033,3,5205,6,30,6,2,4,507,0,5,1,1,1,0,0,1,1,E01004728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10506,1,19,0,18,0,8,0,0,0,0,4,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,529510,179200,-0.135703,51.496914,1,3,2,1,22/04/2015,4,1899-12-30 13:21:00,1,E09000033,4,323,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10506,2,1,0,9,0,8,0,0,0,0,1,1,6,1,21,5,-1,-1,-1,-1,1,-1,1,2,529510,179200,-0.135703,51.496914,1,3,2,1,22/04/2015,4,1899-12-30 13:21:00,1,E09000033,4,323,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004744,1,1,1,21,5,3,0,0,0,0,0,1,1,3
201501CW10507,1,11,0,2,0,0,0,0,0,0,0,1,1,1,48,8,4461,2,1,-1,1,-1,1,1,527870,180880,-0.158707,51.512385,1,3,1,1,21/04/2015,3,1899-12-30 16:45:00,1,E09000033,3,4202,6,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004689,1,2,2,75,10,3,0,0,0,3,0,11,1,7
201501CW10508,1,8,0,18,0,8,0,0,0,0,1,1,1,1,48,8,2499,2,6,-1,3,-1,1,1,527300,181580,-0.166664,51.518804,1,3,1,1,21/04/2015,3,1899-12-30 19:38:00,1,E09000033,3,501,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004661,1,3,1,20,4,3,5,1,0,0,2,0,1,6
201501CW10509,1,9,0,9,0,8,0,0,0,0,1,1,6,1,30,6,1997,2,1,-1,1,-1,1,2,526670,181320,-0.175832,51.516609,1,3,2,1,21/04/2015,3,1899-12-30 08:54:00,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10509,2,1,0,18,8,8,0,0,0,0,1,1,6,1,27,6,-1,-1,-1,-1,1,-1,1,2,526670,181320,-0.175832,51.516609,1,3,2,1,21/04/2015,3,1899-12-30 08:54:00,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033594,1,1,1,27,6,3,0,0,0,0,0,1,1,7
201501CW10510,1,11,0,18,0,8,0,0,0,0,1,1,1,1,59,9,7300,2,14,-1,-1,-1,1,2,530090,179670,-0.12718,51.501005,1,3,2,1,21/04/2015,3,1899-12-30 10:18:00,1,E09000033,3,302,1,30,1,4,3,3214,0,0,1,1,1,0,0,1,1,E01004733,1,2,1,48,8,3,0,0,0,3,0,11,1,6
201501CW10510,2,21,0,3,0,8,0,0,0,0,2,1,1,1,46,8,-1,-1,-1,-1,1,-1,1,2,530090,179670,-0.12718,51.501005,1,3,2,1,21/04/2015,3,1899-12-30 10:18:00,1,E09000033,3,302,1,30,1,4,3,3214,0,0,1,1,1,0,0,1,1,E01004733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10511,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,525470,181830,-0.192936,51.52146,1,3,1,1,21/04/2015,3,1899-12-30 07:55:00,1,E09000033,3,404,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01032512,1,3,2,14,3,3,1,1,0,0,2,0,1,1
